年月日,名前,項目,内容
R3.3.17,柳楽達朗,経営部門(主な品目),ぶどう
R3.3.17,柳楽達朗,ロードマップ,〇
R3.3.17,柳楽達朗,農業部担当者,内田
R3.4.1,糸賀治朗,就農,
R3.4.1,糸賀治朗,経営部門(主な品目),菊
R3.4.1,糸賀治朗,ロードマップ,〇
R3.4.1,糸賀治朗,農業部担当者,杉山
R3.4.1,岩谷隼朗,就農,
R3.4.1,岩谷隼朗,経営部門(主な品目),ぶどう
R3.4.1,岩谷隼朗,ロードマップ,〇
R3.4.1,岩谷隼朗,農業部担当者,内田
R3.4.1,橋和布朗,就農,
R3.4.1,橋和布朗,経営部門(主な品目),アスパラガス
R3.4.1,橋和布朗,ロードマップ,〇
R3.4.1,橋和布朗,農業部担当者,小村
R3.4.1,（株）朗,農業経営者育成協定,締結
R3.4.1,（株）朗,経営部門(主な品目),苗（野菜、花）、ミニトマト
R3.4.1,高橋和朗,就農年月(予定含),予定
R3.4.1,中村陽朗,就農年月(予定含),予定
R3.4.1,方地孝朗,就農地（予定）,大社
R3.4.1,岩谷隼朗,就農年月(予定含),就農
R3.5.31,岩谷隼朗,青年等就農計画推進会議,新規就農
R3.5.31,方地孝朗,青年等就農計画推進会議,規模拡大等
R3.5.31,岩谷隼朗,経営部門(主な品目),ぶどう
R3.5.31,方地孝朗,経営部門(主な品目),アスパラガス、いちじく
R3.5.31,岩谷隼朗,就農地（予定）,大社
R3.6.1,井上翔朗,就農,
R3.6.1,井上翔朗,経営部門(主な品目),青ねぎ
R3.6.1,井上翔朗,ロードマップ,〇
R3.6.1,井上翔朗,農業部担当者,山本樹
R3.6.1,井上翔朗,就農年月(予定含),予定
R3.8.25,藤川裕朗,青年等就農計画推進会議,新規就農
R3.8.25,森山智朗,青年等就農計画推進会議,新規就農
R3.8.25,勝部正朗,青年等就農計画推進会議,設備導入
R3.8.25,藤川裕朗,経営部門(主な品目),ぶどう
R3.8.25,森山智朗,経営部門(主な品目),菌床椎茸
R3.8.25,勝部正朗,経営部門(主な品目),トマト
R3.8.25,藤川裕朗,就農地（予定）,（浜町）
R3.8.25,藤川裕朗,就農年月(予定含),予定
R3.10.1,藤川裕朗,就農,
R3.10.1,藤川裕朗,経営部門(主な品目),ぶどう
R3.10.1,藤川裕朗,ロードマップ,
R3.10.1,藤川裕朗,農業部担当者,内田
R4.2.14,高橋英朗,青年等就農計画推進会議,新規就農
R4.2.14,戸山眞朗,青年等就農計画推進会議,新規就農
R4.2.14,三原雅朗,青年等就農計画推進会議,新規就農
R4.2.14,井上翔朗,青年等就農計画推進会議,新規就農
R4.2.14,高橋和朗,青年等就農計画推進会議,新規就農
R4.2.14,中村陽朗,青年等就農計画推進会議,新規就農
R4.2.14,高橋英朗,経営部門(主な品目),ぶどう
R4.2.14,戸山眞朗,経営部門(主な品目),ぶどう
R4.2.14,三原雅朗,経営部門(主な品目),西浜いも
R4.2.14,井上翔朗,経営部門(主な品目),青ねぎ
R4.2.14,高橋和朗,経営部門(主な品目),アスパラガス
R4.2.14,中村陽朗,経営部門(主な品目),ぶどう
R4.2.14,高橋英朗,就農地（予定）,（大社）
R4.2.14,戸山眞朗,就農地（予定）,（大社）
R4.2.14,三原雅朗,就農地（予定）,（湖陵）
R4.2.14,井上翔朗,就農地（予定）,（斐川）
R4.2.14,高橋和朗,就農地（予定）,（浜町）
R4.2.14,中村陽朗,就農地（予定）,（浜町）
R4.3.1,高橋英朗,就農,
R4.3.1,高橋英朗,経営部門(主な品目),ぶどう
R4.3.1,高橋英朗,ロードマップ,〇
R4.3.1,高橋英朗,農業部担当者,内田
R4.3.1,戸山眞朗,就農,
R4.3.1,戸山眞朗,経営部門(主な品目),ぶどう
R4.3.1,戸山眞朗,ロードマップ,〇
R4.3.1,戸山眞朗,農業部担当者,内田
R4.3.1,三原雅朗,就農,
R4.3.1,三原雅朗,経営部門(主な品目),西浜いも
R4.3.1,三原雅朗,ロードマップ,〇
R4.3.1,三原雅朗,農業部担当者,山本隼
R4.3.1,高橋慶朗,就農年月(予定含),予定
R4.3.1,高橋英朗,就農年月(予定含),就農
R4.3.1,高橋英朗,就農年月(予定含),就農
R4.3.1,高橋英朗,就農年月(予定含),予定
R4.3.1,戸山眞朗,就農年月(予定含),予定
R4.3.1,三原雅朗,就農年月(予定含),予定
R4.3.18,（株）朗,農業経営者育成協定,解約
R4.4.1,中村陽朗,就農,
R4.4.1,中村陽朗,経営部門(主な品目),ぶどう
R4.4.1,中村陽朗,ロードマップ,〇
R4.4.1,中村陽朗,農業部担当者,内田
R4.4.1,玉木農朗,農業経営者育成協定,締結
R4.4.1,玉木農朗,経営部門(主な品目),ミニトマト、その他野菜
R4.5.26,高橋慶朗,青年等就農計画推進会議,新規就農
R4.5.26,川上勝朗,青年等就農計画推進会議,新規就農
R4.5.26,藤間正朗,青年等就農計画推進会議,作業場新設、導入機械変更
R4.5.26,高橋慶朗,経営部門(主な品目),ぶどう
R4.5.26,川上勝朗,経営部門(主な品目),ぶどう
R4.5.26,藤間正朗,経営部門(主な品目),柿
R4.8.19,柳楽和朗,青年等就農計画推進会議,新規就農
R4.8.19,石飛育朗,青年等就農計画推進会議,新規就農
R4.8.19,高橋慶朗,青年等就農計画推進会議,変更（修正）
R4.8.19,柳楽和朗,経営部門(主な品目),ぶどう
R4.8.19,石飛育朗,経営部門(主な品目),西浜いも
R4.8.19,高橋慶朗,経営部門(主な品目),ぶどう
R4.8.19,柳楽和朗,就農地（予定）,出雲
R4.8.19,石飛育朗,就農地（予定）,湖陵
R4.8.19,高橋慶朗,就農地（予定）,出雲
R4.10.1,石飛育朗,就農,
R4.10.1,石飛育朗,経営部門(主な品目),かんしょ
R4.10.1,石飛育朗,ロードマップ,〇
R4.10.1,石飛育朗,農業部担当者,山本隼
R4.10.1,柳楽和朗,就農,
R4.10.1,柳楽和朗,経営部門(主な品目),ぶどう
R4.10.1,柳楽和朗,ロードマップ,〇
R4.10.1,柳楽和朗,農業部担当者,内田
R4.10.1,柳楽和朗,就農年月(予定含),就農
R4.10.1,石飛育朗,就農年月(予定含),就農
R4.11.2,小田武朗,青年等就農計画推進会議,新規就農
R4.11.2,山内庸朗,青年等就農計画推進会議,新規就農
R4.11.2,山本晃朗,青年等就農計画推進会議,新規就農
R4.11.2,小田武朗,経営部門(主な品目),アスパラガス
R4.11.2,山内庸朗,経営部門(主な品目),アスパラガス
R4.11.2,山本晃朗,経営部門(主な品目),花き
R4.11.2,小田武朗,就農地（予定）,出雲
R4.11.2,山内庸朗,就農地（予定）,出雲
R4.11.2,山本晃朗,就農地（予定）,平田
R5.1.1,山本晃朗,就農,
R5.1.1,山本晃朗,経営部門(主な品目),あじさい
R5.1.1,山本晃朗,ロードマップ,〇
R5.1.1,山本晃朗,農業部担当者,杉山
R5.1.1,山本晃朗,就農年月(予定含),就農
R5.2.13,永岡彩朗,青年等就農計画推進会議,新規就農
R5.2.13,宇森裕朗,青年等就農計画推進会議,新規就農
R5.2.13,荒木大朗,青年等就農計画推進会議,新規就農
R5.2.13,深津健朗,青年等就農計画推進会議,機械導入
R5.2.13,永岡彩朗,経営部門(主な品目),ぶどう
R5.2.13,宇森裕朗,経営部門(主な品目),ぶどう
R5.2.13,荒木大朗,経営部門(主な品目),稲作
R5.2.13,深津健朗,経営部門(主な品目),稲作
R5.2.13,永岡彩朗,就農地（予定）,出雲
R5.2.13,宇森裕朗,就農地（予定）,出雲
R5.2.13,荒木大朗,就農地（予定）,平田
R5.2.13,深津健朗,就農地（予定）,斐川
R5.3.1,高橋慶朗,就農,
R5.3.1,高橋慶朗,経営部門(主な品目),ぶどう
R5.3.1,高橋慶朗,ロードマップ,〇
R5.3.1,高橋慶朗,農業部担当者,内田
R5.3.1,小田武朗,就農,
R5.3.1,小田武朗,経営部門(主な品目),アスパラガス
R5.3.1,小田武朗,ロードマップ,〇
R5.3.1,小田武朗,農業部担当者,小村
R5.3.1,山内庸朗,就農,
R5.3.1,山内庸朗,経営部門(主な品目),アスパラガス
R5.3.1,山内庸朗,ロードマップ,〇
R5.3.1,山内庸朗,農業部担当者,小村
R5.3.1,高橋慶朗,就農年月(予定含),就農
R5.3.1,小田武朗,就農年月(予定含),就農
R5.3.1,山内庸朗,就農年月(予定含),就農
R5.3.1,高橋慶朗,就農年月(予定含),就農
R5.3.1,小田武朗,就農年月(予定含),就農
R5.4.1,荒木大朗,就農,
R5.4.1,荒木大朗,経営部門(主な品目),水稲
R5.4.1,荒木大朗,ロードマップ,〇
R5.4.1,荒木大朗,農業部担当者,新田・山崎健
R5.4.1,永岡彩朗,就農,
R5.4.1,永岡彩朗,経営部門(主な品目),ぶどう
R5.4.1,永岡彩朗,ロードマップ,〇
R5.4.1,永岡彩朗,農業部担当者,内田
R5.4.1,（株）朗,農業経営者育成協定,締結
R5.4.1,（株）朗,経営部門(主な品目),ぶどう、西浜いも
R5.4.1,荒木大朗,就農年月(予定含),就農
R5.6.5,錦織誠朗,認定新規就農者,認定
R5.6.5,錦織誠朗,青年等就農計画推進会議,新規就農
R5.6.5,桃谷洸朗,青年等就農計画推進会議,新規就農
R5.6.5,藤間正朗,青年等就農計画推進会議,導入機械変更
R5.6.5,高橋英朗,青年等就農計画推進会議,導入機械変更
R5.6.5,高橋慶朗,青年等就農計画推進会議,導入機械変更、作付面積拡大
R5.6.5,桃谷洸朗,経営部門(主な品目),菌床しいたけ
R5.6.5,錦織誠朗,経営部門(主な品目),トマト
R5.6.5,藤間正朗,経営部門(主な品目),柿
R5.6.5,高橋英朗,経営部門(主な品目),ぶどう
R5.6.5,高橋慶朗,経営部門(主な品目),ぶどう
R5.6.5,桃谷洸朗,就農地（予定）,（出雲）
R5.6.5,錦織誠朗,就農地（予定）,（斐川）
R5.6.5,藤間正朗,就農地（予定）,平田
R5.6.5,高橋英朗,就農地（予定）,大社
R5.6.5,高橋慶朗,就農地（予定）,出雲
R5.9.30,川上亜朗,就農時期,予定
R5.9.30,川上亜朗,青年等就農計画推進会議,就農年月(予定含)
R5.9.30,川上亜朗,就農年月(予定含),就農
R5.11.30,山田郁朗,青年等就農計画推進会議,新規就農
R5.11.30,横野充朗,青年等就農計画推進会議,新規就農
R5.11.30,荒木大朗,青年等就農計画推進会議,導入機械変更
R5.11.30,山田郁朗,就農地（予定）,大社
R5.11.30,横野充朗,就農地（予定）,大社
R5.11.30,荒木大朗,就農地（予定）,平田
R5.11.30,山田郁朗,経営部門(主な品目),アスパラガス
R5.11.30,横野充朗,経営部門(主な品目),ぶどう
R5.11.30,荒木大朗,経営部門(主な品目),水稲
R6.1.1,桃谷洸朗,就農年月(予定含),予定
R6.2.20,桃谷洸朗,就農,
R6.2.20,桃谷洸朗,経営部門(主な品目),菌床しいたけ
R6.2.20,桃谷洸朗,ロードマップ,
R6.2.20,桃谷洸朗,農業部担当者,(林業部)
R6.2.21,岩谷隼朗,青年等就農計画推進会議,運転資金、施設整備
R6.2.21,石飛育朗,青年等就農計画推進会議,施設整備
R6.2.21,三原雅朗,青年等就農計画推進会議,施設整備
R6.2.21,井上翔朗,青年等就農計画推進会議,施設整備
R6.2.21,錦織誠朗,青年等就農計画推進会議,運転資金、施設整備
R6.2.21,岩谷隼朗,就農地（予定）,大社
R6.2.21,石飛育朗,就農地（予定）,湖陵
R6.2.21,三原雅朗,就農地（予定）,湖陵
R6.2.21,井上翔朗,就農地（予定）,斐川
R6.2.21,錦織誠朗,就農地（予定）,（斐川）
R6.2.21,岩谷隼朗,経営部門(主な品目),ぶどう
R6.2.21,石飛育朗,経営部門(主な品目),西浜いも
R6.2.21,三原雅朗,経営部門(主な品目),西浜いも
R6.2.21,井上翔朗,経営部門(主な品目),青ねぎ
R6.2.21,錦織誠朗,経営部門(主な品目),トマト
R6.3.1,横野充朗,就農,
R6.3.1,横野充朗,経営部門(主な品目),ぶどう
R6.3.1,横野充朗,ロードマップ,
R6.3.1,横野充朗,農業部担当者,内田
R6.4.1,錦織誠朗,就農,
R6.4.1,錦織誠朗,経営部門(主な品目),トマト
R6.4.1,錦織誠朗,ロードマップ,〇
R6.4.1,錦織誠朗,農業部担当者,大倉
R6.4.1,今若暖朗,農業経営者育成協定,締結
R6.4.1,星野博朗,農業経営者育成協定,締結
R6.4.1,今若暖朗,経営部門(主な品目),アスパラガス、白ねぎ
R6.4.1,星野博朗,経営部門(主な品目),アスパラガス
R6.4.1,錦織誠朗,就農年月(予定含),予定
R6.5.29,吉田悠朗,認定新規就農者,認定
R6.5.29,橋本正朗,認定新規就農者,認定
R6.5.29,大福ひ朗,認定新規就農者,認定
R6.5.29,吉田悠朗,青年等就農計画推進会議,新規就農
R6.5.29,橋本正朗,青年等就農計画推進会議,新規就農
R6.5.29,大福ひ朗,青年等就農計画推進会議,新規就農
R6.5.29,大福ひ朗,青年等就農計画推進会議,新規就農
R6.5.29,吉田悠朗,青年等就農計画推進会議,新規就農
R6.5.29,橋本正朗,青年等就農計画推進会議,新規就農
R6.5.29,福島克朗,青年等就農計画推進会議,運転資金、施設整備
R6.5.29,大福ひ朗,経営部門(主な品目),ぶどう
R6.5.29,吉田悠朗,経営部門(主な品目),ぶどう
R6.5.29,橋本正朗,経営部門(主な品目),アスパラガス
R6.5.29,福島克朗,経営部門(主な品目),野菜
R6.5.29,大福ひ朗,就農地（予定）,（平田）
R6.5.29,吉田悠朗,就農地（予定）,（出雲）
R6.5.29,橋本正朗,就農地（予定）,（出雲）
R6.5.29,福島克朗,就農地（予定）,斐川
R6.7.19,谷口太朗,認定新規就農者,認定
R6.7.19,冨田里朗,認定新規就農者,認定
R6.7.19,谷口太朗,青年等就農計画推進会議,新規就農
R6.7.19,冨田里朗,青年等就農計画推進会議,新規就農
R6.7.19,谷口太朗,青年等就農計画推進会議,新規就農
R6.7.19,冨田里朗,青年等就農計画推進会議,新規就農
R6.7.19,谷口太朗,経営部門(主な品目),ぶどう
R6.7.19,冨田里朗,経営部門(主な品目),アスパラガス、青ネギ
R6.7.19,谷口太朗,就農地（予定）,（出雲）
R6.7.19,冨田里朗,就農地（予定）,（平田）
R7.1.1,吉田悠朗,就農,
R7.1.1,吉田悠朗,経営部門(主な品目),ぶどう
R7.1.1,吉田悠朗,ロードマップ,〇
R7.1.1,吉田悠朗,農業部担当者,内田
R7.1.1,谷口太朗,就農,
R7.1.1,谷口太朗,経営部門(主な品目),ぶどう
R7.1.1,谷口太朗,ロードマップ,〇
R7.1.1,谷口太朗,農業部担当者,内田
R7.1.1,原淳夫朗,就農年月(予定含),予定
R7.1.1,谷口太朗,就農年月(予定含),予定
R7.1.1,吉田悠朗,就農年月(予定含),予定
R7.3.1,大福ひ朗,就農,
R7.3.1,大福ひ朗,経営部門(主な品目),ぶどう
R7.3.1,大福ひ朗,ロードマップ,〇
R7.3.1,大福ひ朗,農業部担当者,内田
R7.3.1,橋本正朗,就農,
R7.3.1,橋本正朗,経営部門(主な品目),アスパラガス・白ねぎ
R7.3.1,橋本正朗,ロードマップ,〇
R7.3.1,橋本正朗,農業部担当者,小村
R7.3.1,冨田里朗,就農,
R7.3.1,冨田里朗,経営部門(主な品目),アスパラガス・白ねぎ
R7.3.1,冨田里朗,ロードマップ,〇
R7.3.1,冨田里朗,農業部担当者,小村
R7.3.1,冨田里朗,就農年月(予定含),予定
R7.3.1,大福ひ朗,就農年月(予定含),予定
R7.3.1,橋本正朗,就農年月(予定含),予定
R7.3.17,（同）朗,農業経営者育成協定,締結
R7.3.17,（同）朗,経営部門(主な品目),花き
R7.3.24,石飛葵朗,認定新規就農者,認定
R7.3.24,石飛葵朗,青年等就農計画推進会議,新規就農
R7.3.24,石飛葵朗,青年等就農計画推進会議,新規就農
R7.3.24,小田武朗,青年等就農計画推進会議,機械・施設整備
R7.3.24,深津健朗,青年等就農計画推進会議,機械整備
R7.3.24,石飛葵朗,就農地（予定）,（湖陵）
R7.3.24,小田武朗,就農地（予定）,出雲
R7.3.24,深津健朗,就農地（予定）,斐川
R7.4.1,石飛葵朗,就農,
R7.4.1,石飛葵朗,経営部門(主な品目),かんしょ、白ねぎ
R7.4.1,石飛葵朗,ロードマップ,〇
R7.4.1,石飛葵朗,農業部担当者,山本隼・樹
R7.4.1,石飛葵朗,就農年月(予定含),予定
R7.6.2,藤原駿朗,認定新規就農者,認定
R7.6.2,藤原駿朗,青年等就農計画推進会議,新規就農
R7.6.2,原淳夫朗,青年等就農計画推進会議,新規就農
R7.6.2,藤原駿朗,青年等就農計画推進会議,新規就農
R7.6.2,高橋英朗,青年等就農計画推進会議,新品種への改植、機械整備
R7.6.2,荒木大朗,青年等就農計画推進会議,機械・施設整備
R7.6.2,原淳夫朗,経営部門(主な品目),いちご
R7.6.2,藤原駿朗,経営部門(主な品目),アスパラガス、だいこん、白ねぎ
R7.6.2,高橋英朗,経営部門(主な品目),ぶどう
R7.6.2,荒木大朗,経営部門(主な品目),ブロッコリー
R7.6.2,原淳夫朗,就農地（予定）,（出雲）
R7.6.2,藤原駿朗,就農地（予定）,（大社）
R7.6.2,高橋英朗,就農地（予定）,大社
R7.6.2,荒木大朗,就農地（予定）,平田
R7.7.1,原淳夫朗,就農時期,予定
R7.7.22,深澤慎朗,認定新規就農者,認定
R7.7.22,竹下義朗,認定新規就農者,認定
R7.7.22,川上亜朗,認定新規就農者,認定
R7.7.22,深澤慎朗,青年等就農計画推進会議,新規就農
R7.7.22,竹下義朗,青年等就農計画推進会議,新規就農
R7.7.22,川上亜朗,青年等就農計画推進会議,新規就農
R7.7.22,川上亜朗,青年等就農計画推進会議,新規就農
R7.7.22,深澤慎朗,青年等就農計画推進会議,新規就農
R7.7.22,竹下義朗,青年等就農計画推進会議,新規就農
R7.7.22,川上亜朗,就農地（予定）,大社
R7.7.22,深澤慎朗,就農地（予定）,（出雲）
R7.7.22,竹下義朗,就農地（予定）,（出雲）
R7.10.23,錦織誠朗,区分,就農者
R7.10.23,吉田悠朗,区分,就農者
R7.10.23,佐野瑞朗,区分,研修生
R7.10.23,谷口太朗,区分,就農者
R7.10.23,恩田優朗,区分,研修生
R7.10.23,橋本正朗,区分,就農者
R7.10.23,大福ひ朗,区分,就農者
R7.10.23,冨田里朗,区分,就農者
R7.10.23,大田瑠朗,区分,研修生
R7.10.23,佐々木朗,区分,研修生
R7.10.23,藤原駿朗,区分,研修生
R7.10.23,原淳夫朗,区分,研修生
R7.10.23,石飛葵朗,区分,就農者
R7.10.23,大島浩朗,区分,研修生
R7.10.23,藤原叶朗,区分,研修生
R7.10.23,三成皓朗,区分,研修生
R7.10.23,今井洋朗,区分,研修生
R7.10.23,深澤慎朗,区分,研修生
R7.10.23,森山杏朗,区分,研修生
R7.10.23,竹下義朗,区分,研修生
R7.10.23,川上貴朗,区分,研修生
R7.10.23,今岡孝朗,区分,研修生
R7.10.23,川上亜朗,区分,就農者
R7.10.23,勝部和朗,区分,研修生
R7.10.23,春日佑朗,区分,研修生
R7.10.23,郷原一朗,区分,研修生
R7.10.23,服部伸朗,区分,研修生
R7.10.23,金子英朗,区分,研修生
R7.10.23,國本崇朗,区分,研修生
R7.10.23,芝田大朗,区分,研修生
R7.10.23,大和田朗,区分,研修生
R7.10.23,杉伸太朗,区分,研修生
R7.10.23,大塚由朗,区分,研修生
R7.10.23,米山加朗,区分,研修生
R7.10.23,今岡義朗,区分,研修生
R7.10.23,手銭洸朗,区分,研修生
R7.10.23,伊藤颯朗,区分,研修生
R7.10.23,竹下義朗,就農時期,予定
R7.10.23,森山杏朗,認定新規就農者,予定
R7.10.23,川上貴朗,認定新規就農者,予定
R7.10.23,今岡孝朗,認定新規就農者,予定
R7.10.23,杉伸太朗,認定新規就農者,予定
R7.10.23,川上貴朗,認定新規就農者,認定
R7.10.23,今岡孝朗,認定新規就農者,認定
R7.10.23,森山杏朗,認定新規就農者,認定
R7.10.23,杉伸太朗,認定新規就農者,認定
R7.10.23,川上貴朗,経営部門(主な品目),ぶどう
R7.10.23,今岡孝朗,経営部門(主な品目),ぶどう
R7.10.23,森山杏朗,経営部門(主な品目),柿
R7.10.23,杉伸太朗,経営部門(主な品目),ぶどう
R7.10.23,川上貴朗,就農地（予定）,大社
R7.10.23,今岡孝朗,就農地（予定）,大社
R7.10.23,森山杏朗,就農地（予定）,平田
R7.10.23,杉伸太朗,就農地（予定）,斐川
R7.10.23,川上貴朗,就農時期,予定
R7.10.23,今岡孝朗,就農時期,予定
R7.10.23,森山杏朗,就農時期,予定
R7.10.23,杉伸太朗,就農時期,予定
R7.10.23,藤原駿朗,就農時期,就農
R7.10.23,深澤慎朗,就農時期,予定
R7.10.23,郷原一朗,就農時期,予定
R7.10.23,春日佑朗,就農時期,予定
R7.10.23,米山加朗,就農時期,予定
R7.10.23,大塚由朗,就農時期,予定
R7.10.23,神田い朗,就農時期,予定
R7.10.23,郷原一朗,就農地（予定）,平田
R7.10.23,春日佑朗,就農地（予定）,大社
R7.10.23,米山加朗,就農地（予定）,大社
R7.10.23,大塚由朗,就農地（予定）,多伎
R7.10.23,神田い朗,就農地（予定）,斐川
R7.10.23,郷原一朗,認定新規就農者,予定
R7.10.23,春日佑朗,認定新規就農者,予定
R7.10.23,米山加朗,認定新規就農者,予定
R7.10.23,大塚由朗,認定新規就農者,予定
R7.10.23,神田い朗,認定新規就農者,予定
R7.10.23,金子英朗,就農時期,ぶどう団地
R7.10.23,國本崇朗,就農時期,ぶどう団地
R7.10.23,今岡義朗,就農時期,ぶどう団地
R7.10.23,金子英朗,経営部門(主な品目),ぶどう
R7.10.23,國本崇朗,経営部門(主な品目),ぶどう
R7.10.23,今岡義朗,経営部門(主な品目),ぶどう
R7.10.23,郷原一朗,産業体験・研修・雇用受入経営体名,
R7.10.23,春日佑朗,産業体験・研修・雇用受入経営体名,
R7.10.23,米山加朗,産業体験・研修・雇用受入経営体名,
R7.10.23,大塚由朗,産業体験・研修・雇用受入経営体名,
R7.10.23,神田い朗,産業体験・研修・雇用受入経営体名,
R7.10.23,錦織誠朗,重点推進事項,
R7.10.23,吉田悠朗,重点推進事項,産地創生
R7.10.23,佐野瑞朗,重点推進事項,産地創生
R7.10.23,谷口太朗,重点推進事項,産地創生
R7.10.23,恩田優朗,重点推進事項,産地創生
R7.10.23,橋本正朗,重点推進事項,水田園芸
R7.10.23,大福ひ朗,重点推進事項,産地創生
R7.10.23,冨田里朗,重点推進事項,水田園芸
R7.10.23,大田瑠朗,重点推進事項,
R7.10.23,佐々木朗,重点推進事項,
R7.10.23,藤原駿朗,重点推進事項,水田園芸
R7.10.23,原淳夫朗,重点推進事項,
R7.10.23,石飛葵朗,重点推進事項,産地創生
R7.10.23,大島浩朗,重点推進事項,
R7.10.23,藤原叶朗,重点推進事項,産地創生
R7.10.23,三成皓朗,重点推進事項,産地創生
R7.10.23,今井洋朗,重点推進事項,産地創生
R7.10.23,深澤慎朗,重点推進事項,産地創生
R7.10.23,森山杏朗,重点推進事項,産地創生
R7.10.23,竹下義朗,重点推進事項,産地創生
R7.10.23,川上貴朗,重点推進事項,産地創生
R7.10.23,今岡孝朗,重点推進事項,産地創生
R7.10.23,川上亜朗,重点推進事項,産地創生
R7.10.23,勝部和朗,重点推進事項,
R7.10.23,春日佑朗,重点推進事項,
R7.10.23,郷原一朗,重点推進事項,
R7.10.23,服部伸朗,重点推進事項,
R7.10.23,金子英朗,重点推進事項,産地創生
R7.10.23,國本崇朗,重点推進事項,産地創生
R7.10.23,芝田大朗,重点推進事項,
R7.10.23,大和田朗,重点推進事項,
R7.10.23,杉伸太朗,重点推進事項,産地創生
R7.10.23,大塚由朗,重点推進事項,
R7.10.23,米山加朗,重点推進事項,
R7.10.23,今岡義朗,重点推進事項,産地創生
R7.10.23,手銭洸朗,重点推進事項,
R7.10.23,伊藤颯朗,重点推進事項,
R7.10.23,錦織誠朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,吉田悠朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,佐野瑞朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,谷口太朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,恩田優朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,橋本正朗,県内者UT者(前住)IT者(出身),IT者(埼玉県)
R7.10.23,大福ひ朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,冨田里朗,県内者UT者(前住)IT者(出身),UT者(東京都)
R7.10.23,大田瑠朗,県内者UT者(前住)IT者(出身),
R7.10.23,佐々木朗,県内者UT者(前住)IT者(出身),
R7.10.23,藤原駿朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,原淳夫朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,石飛葵朗,県内者UT者(前住)IT者(出身),県内者
R7.10.23,大島浩朗,県内者UT者(前住)IT者(出身),県内者
